Code,Year,population
IS,1983,235537
IS,1984,238416
IS,1985,240606
IS,1986,242203
IS,1987,244157
IS,1988,247561
IS,1989,251919
IS,1990,253785
IS,1991,255866
IS,1992,259727
IS,1993,262386
IS,1994,265064
IS,1995,266978
IS,1996,267958
IS,1997,269874
IS,1998,272381
IS,1999,275712
IS,2000,279049
IS,2001,283361
IS,2002,286575
IS,2003,288471
IS,2004,290570
IS,2005,293577
IS,2006,299891
IS,2007,307672
IS,2008,315459
IS,2009,319368
IS,2010,317630
IS,2011,318452
IS,2012,319575
IS,2013,321857
IS,2014,325671
IS,2015,329100
IS,2016,332529
IS,2017,338349
IS,2018,348450
IS,2019,356991
IS,2020,364134
IS,2021,368792
IS,2022,376248
IS,2023,387758
IT,1977,55847553
IT,1978,56063269
IT,1979,56247017
IT,1980,56388480
IT,1981,56479285
IT,1982,56524064
IT,1983,56563031
IT,1984,56565117
IT,1985,56588319
IT,1986,56597823
IT,1987,56594487
IT,1988,56609375
IT,1989,56649201
IT,1990,56694360
IT,1991,56744119
IT,1992,56772923
IT,1993,56821250
IT,1994,56842392
IT,1995,56844408
IT,1996,56844197
IT,1997,56876364
IT,1998,56904379
IT,1999,56909109
IT,2000,56923524
IT,2001,56960692
IT,2002,56987507
IT,2003,57130506
IT,2004,57495900
IT,2005,57874753
IT,2006,58064214
IT,2007,58223744
IT,2008,58652875
IT,2009,59000586
IT,2010,59190143
IT,2011,59364690
IT,2012,59394207
IT,2013,59685227
IT,2014,60782668
IT,2015,60795612
IT,2016,60665551
IT,2017,60589445
IT,2018,60483973
IT,2019,59816673
IT,2020,59641488
IT,2021,59236213
IT,2022,59030133
IT,2023,58997201
LI,1977,24169
LI,1978,24715
LI,1979,25340
LI,1980,25809
LI,1981,25215
LI,1982,26130
LI,1983,26380
LI,1984,26512
LI,1985,26680
LI,1986,27076
LI,1987,27399
LI,1988,27714
LI,1989,28181
LI,1990,28452
LI,1991,29032
LI,1992,29386
LI,1993,29868
LI,1994,30310
LI,1995,30629
LI,1996,30923
LI,1997,31143
LI,1998,31320
LI,1999,32015
LI,2000,32426
LI,2001,32863
LI,2002,33525
LI,2003,33863
LI,2004,34294
LI,2005,34600
LI,2006,34905
LI,2007,35168
LI,2008,35356
LI,2009,35589
LI,2010,35894
LI,2011,36149
LI,2012,36475
LI,2013,36838
LI,2014,37129
LI,2015,37366
LI,2016,37622
LI,2017,37810
LI,2018,38114
LI,2019,38378
LI,2020,38747
LI,2021,39055
LI,2022,39308
LI,2023,39677
LT,1977,3342533
LT,1978,3367538
LT,1979,3391490
LT,1980,3404194
LT,1981,3422210
LT,1982,3443684
LT,1983,3470673
LT,1984,3499711
LT,1985,3528698
LT,1986,3560388
LT,1987,3597439
LT,1988,3635295
LT,1989,3674802
LT,1990,3693708
LT,1991,3701968
LT,1992,3706299
LT,1993,3693929
LT,1994,3671296
LT,1995,3642991
LT,1996,3615212
LT,1997,3588013
LT,1998,3562261
LT,1999,3536401
LT,2000,3512074
LT,2001,3486998
LT,2002,3454637
LT,2003,3431497
LT,2004,3398929
LT,2005,3355220
LT,2006,3289835
LT,2007,3249983
LT,2008,3212605
LT,2009,3183856
LT,2010,3141976
LT,2011,3052588
LT,2012,3003641
LT,2013,2971905
LT,2014,2943472
LT,2015,2921262
LT,2016,2888558
LT,2017,2847904
LT,2018,2808901
LT,2019,2794184
LT,2020,2794090
LT,2021,2795680
LT,2022,2805998
LT,2023,2857279
LU,1977,360962
LU,1978,361753
LU,1979,362261
LU,1980,363450
LU,1981,364850
LU,1982,365600
LU,1983,365450
LU,1984,365794
LU,1985,366202
LU,1986,367210
LU,1987,369500
LU,1988,372000
LU,1989,374900
LU,1990,379300
LU,1991,384400
LU,1992,389600
LU,1993,394750
LU,1994,400200
LU,1995,405650
LU,1996,411600
LU,1997,416850
LU,1998,422050
LU,1999,427350
LU,2000,433600
LU,2001,439000
LU,2002,444050
LU,2003,448300
LU,2004,454960
LU,2005,461230
LU,2006,469086
LU,2007,476187
LU,2008,483799
LU,2009,493500
LU,2010,502066
LU,2011,511840
LU,2012,524853
LU,2013,537039
LU,2014,549680
LU,2015,562958
LU,2016,576249
LU,2017,590667
LU,2018,602005
LU,2019,613894
LU,2020,626108
LU,2021,634730
LU,2022,645397
LU,2023,660809
LV,1977,2477449
LV,1978,2492697
LV,1979,2503145
LV,1980,2508761
LV,1981,2514640
LV,1982,2524202
LV,1983,2537958
LV,1984,2554063
LV,1985,2570030
LV,1986,2587716
LV,1987,2612068
LV,1988,2641097
LV,1989,2665770
LV,1990,2668140
LV,1991,2658161
LV,1992,2643000
LV,1993,2585675
LV,1994,2540904
LV,1995,2500580
LV,1996,2469531
LV,1997,2444912
LV,1998,2420789
LV,1999,2399248
LV,2000,2381715
LV,2001,2353384
LV,2002,2320956
LV,2003,2299390
LV,2004,2276520
LV,2005,2249724
LV,2006,2227874
LV,2007,2208840
LV,2008,2191810
LV,2009,2162834
LV,2010,2120504
LV,2011,2074605
LV,2012,2044813
LV,2013,2023825
LV,2014,2001468
LV,2015,1986096
LV,2016,1968957
LV,2017,1950116
LV,2018,1934379
LV,2019,1919968
LV,2020,1907675
LV,2021,1893223
LV,2022,1875757
LV,2023,1883008
MC,2004,32828
MC,2005,33085
MD,2000,3644070
MD,2001,3635112
MD,2002,3627812
MD,2003,3618312
MD,2004,3607435
MD,2005,3600436
MD,2006,3589936
MD,2007,3581110
MD,2008,3572703
MD,2009,3567512
MD,2010,3563695
MD,2011,3560430
MD,2012,3559541
MD,2013,3559497
MD,2014,3557634
MD,2015,3555159
MD,2017,3550852
MD,2021,2597107
MD,2023,2512758
ME,2000,603152
ME,2001,605988
ME,2002,608460
ME,2003,610510
ME,2004,612214
ME,2005,613420
ME,2006,613109
ME,2007,614624
ME,2008,615543
ME,2009,617157
ME,2010,619001
ME,2011,619850
ME,2012,620308
ME,2013,620893
ME,2014,621521
ME,2015,622099
ME,2016,622218
ME,2017,622387
ME,2018,622359
ME,2019,622182
ME,2020,621873
ME,2021,620739
ME,2022,617683
ME,2023,616695
MK,1977,1797145
MK,1978,1823151
MK,1979,1849388
MK,1980,1878067
MK,1981,1904570
MK,1982,1928856
MK,1983,1954972
MK,1984,1980139
MK,1985,2004709
MK,1986,2029175
MK,1987,2052953
MK,1988,2077056
MK,1989,2100246
MK,1990,1873109
MK,1991,1890872
MK,1992,1908941
MK,1993,2061000
MK,1994,1936741
MK,1995,1957265
MK,1996,1971687
MK,1997,1991398
MK,1998,2002340
MK,1999,2012705
MK,2000,2021578
MK,2001,2031112
MK,2002,2038651
MK,2003,2023654
MK,2004,2029892
MK,2005,2035196
MK,2006,2038514
MK,2007,2041941
MK,2008,2045177
MK,2009,2048619
MK,2010,2052722
MK,2011,2057284
MK,2012,2059794
MK,2013,2062294
MK,2014,2065769
MK,2015,2069172
MK,2016,2071278
MK,2017,2073702
MK,2018,2075301
MK,2019,2077132
MK,2020,2076255
MK,2021,2068808
MK,2022,1837114
MK,2023,1829954
MT,1977,304997
MT,1978,308942
MT,1979,311421
MT,1980,315262
MT,1981,318028
MT,1982,319936
MT,1983,331859
MT,1984,329189
MT,1985,331997
MT,1986,340907
MT,1987,343334
MT,1988,345636
MT,1989,349014
MT,1990,352430
MT,1991,361908
MT,1992,365781
MT,1993,369455
MT,1994,373161
MT,1995,376433
MT,1996,378404
MT,1997,381405
MT,1998,384176
MT,1999,386397
MT,2000,388759
MT,2001,391415
MT,2002,394641
MT,2003,397296
MT,2004,399867
MT,2005,402668
MT,2006,404999
MT,2007,405616
MT,2008,407832
MT,2009,410926
MT,2010,414027
MT,2011,414989
MT,2012,417546
MT,2013,422509
MT,2014,429424
MT,2015,439691
MT,2016,450415
MT,2017,460297
MT,2018,475701
MT,2019,493559
MT,2020,514564
MT,2021,516100
MT,2022,520971
MT,2023,542051
NL,1977,13814495
NL,1978,13897874
NL,1979,13985526
NL,1980,14091014
NL,1981,14208586
NL,1982,14285829
NL,1983,14339551
NL,1984,14394589
NL,1985,14453833
NL,1986,14529430
NL,1987,14615125
NL,1988,14714948
NL,1989,14805240
NL,1990,14892574
NL,1991,15010445
NL,1992,15129150
NL,1993,15239182
NL,1994,15341553
NL,1995,15424122
NL,1996,15493889
NL,1997,15567107
NL,1998,15654192
NL,1999,15760225
NL,2000,15863950
NL,2001,15987075
NL,2002,16105285
NL,2003,16192572
NL,2004,16258032
NL,2005,16305526
NL,2006,16334210
NL,2007,16357992
NL,2008,16405399
NL,2009,16485787
NL,2010,16574989
NL,2011,16655799
NL,2012,16730348
NL,2013,16779575
NL,2014,16829289
NL,2015,16900726
NL,2016,16979120
NL,2017,17081507
NL,2018,17181084
NL,2019,17282163
NL,2020,17407585
NL,2021,17475415
NL,2022,17590672
NL,2023,17811291
NO,1977,4035202
NO,1978,4051208
NO,1979,4066134
NO,1980,4078900
NO,1981,4092340
NO,1982,4107063
NO,1983,4122511
NO,1984,4134353
NO,1985,4145845
NO,1986,4159187
NO,1987,4175521
NO,1988,4198289
NO,1989,4220686
NO,1990,4233116
NO,1991,4249830
NO,1992,4273634
NO,1993,4299167
NO,1994,4324815
NO,1995,4348410
NO,1996,4369957
NO,1997,4392714
NO,1998,4417599
NO,1999,4445329
NO,2000,4478497
NO,2001,4503436
NO,2002,4524066
NO,2003,4552252
NO,2004,4577457
NO,2005,4606363
NO,2006,4640219
NO,2007,4681134
NO,2008,4737171
NO,2009,4799252
NO,2010,4858199
NO,2011,4920305
NO,2012,4985870
NO,2013,5051275
NO,2014,5109056
NO,2015,5165802
NO,2016,5213985
NO,2017,5258317
NO,2018,5295619
NO,2019,5328212
NO,2020,5367580
NO,2021,5391369
NO,2022,5425270
NO,2023,5488984
PL,1977,34527900
PL,1978,34850200
PL,1979,35081000
PL,1980,35413434
PL,1981,35734865
PL,1982,36062309
PL,1983,36398652
PL,1984,36744964
PL,1985,37063303
PL,1986,37340467
PL,1987,37571771
PL,1988,37764318
PL,1989,37884655
PL,1990,38038403
PL,1991,38183160
PL,1992,38309226
PL,1993,38418108
PL,1994,38504707
PL,1995,38580597
PL,1996,38609399
PL,1997,38639341
PL,1998,38659979
PL,1999,38666983
PL,2000,38263303
PL,2001,38253955
PL,2002,38242197
PL,2003,38218531
PL,2004,38190608
PL,2005,38173835
PL,2006,38157055
PL,2007,38125479
PL,2008,38115641
PL,2009,38135876
PL,2010,38022869
PL,2011,38062718
PL,2012,38063792
PL,2013,38062535
PL,2014,38017856
PL,2015,38005614
PL,2016,37967209
PL,2017,37972964
PL,2018,37976687
PL,2019,37972812
PL,2020,37958138
PL,2021,37073357
PL,2022,36889761
PL,2023,36753736
PT,1977,9403810
PT,1978,9507540
PT,1979,9608960
PT,1980,9713570
PT,1981,9819054
PT,1982,9883670
PT,1983,9939871
PT,1984,9975859
PT,1985,10016605
PT,1986,10030621
PT,1987,10034846
PT,1988,10025215
PT,1989,10014005
PT,1990,9995995
PT,1991,9970441
PT,1992,9950029
PT,1993,9954958
PT,1994,9974391
PT,1995,10008659
PT,1996,10043693
PT,1997,10084196
PT,1998,10133758
PT,1999,10186634
PT,2000,10249022
PT,2001,10330774
PT,2002,10394669
PT,2003,10444592
PT,2004,10473050
PT,2005,10494672
PT,2006,10511988
PT,2007,10532588
PT,2008,10553339
PT,2009,10563014
PT,2010,10573479
PT,2011,10572721
PT,2012,10542398
PT,2013,10487289
PT,2014,10427301
PT,2015,10374822
PT,2016,10341330
PT,2017,10309573
PT,2018,10291027
PT,2019,10276617
PT,2020,10295909
PT,2021,10298252
PT,2022,10352042
PT,2023,10467366
RO,1977,21657569
RO,1978,21854622
RO,1979,22048305
RO,1980,22132670
RO,1981,22281894
RO,1982,22424246
RO,1983,22527235
RO,1984,22593720
RO,1985,22687374
RO,1986,22778624
RO,1987,22895058
RO,1988,23003802
RO,1989,23111521
RO,1990,23211395
RO,1991,23192274
RO,1992,22810035
RO,1993,22778533
RO,1994,22748027
RO,1995,22712394
RO,1996,22656145
RO,1997,22581862
RO,1998,22526093
RO,1999,22488595
RO,2000,22455485
RO,2001,22430457
RO,2002,21833483
RO,2003,21627509
RO,2004,21521142
RO,2005,21382354
RO,2006,21257016
RO,2007,21130503
RO,2008,20635460
RO,2009,20440290
RO,2010,20294683
RO,2011,20199059
RO,2012,20095996
RO,2013,20020074
RO,2014,19947311
RO,2015,19870647
RO,2016,19760585
RO,2017,19643949
RO,2018,19533481
RO,2019,19414458
RO,2020,19328838
RO,2021,19201662
RO,2022,19042455
RO,2023,19054548
RS,1999,7552850
RS,2000,7527952
RS,2001,7504739
RS,2002,7502126
RS,2003,7490918
RS,2004,7470263
RS,2005,7456050
RS,2006,7425487
RS,2007,7397651
RS,2008,7365507
RS,2009,7334937
RS,2010,7306677
RS,2011,7251549
RS,2012,7216649
RS,2013,7181505
RS,2014,7146759
RS,2015,7114393
RS,2016,7076372
RS,2017,7040272
RS,2018,7001444
RS,2019,6963764
RS,2020,6926705
RS,2021,6871547
RS,2022,6797105
RS,2023,6641197
RU,2000,146890128
RU,2001,146303611
RU,2002,145649334
RU,2003,145166731
RU,2004,144168205
RU,2005,143474219
RU,2006,142753551
RU,2007,142220968
RU,2008,142008838
RU,2009,141903979
RU,2010,141914509
RU,2011,142856536
RU,2012,143056383
RU,2014,143666931
SE,1977,8236144
SE,1978,8266936
SE,1979,8284261
SE,1980,8303094
SE,1981,8317967
SE,1982,8323038
SE,1983,8327488
SE,1984,8330577
SE,1985,8342633
SE,1986,8358139
SE,1987,8381519
SE,1988,8414089
SE,1989,8458888
SE,1990,8527039
SE,1991,8590630
SE,1992,8644120
SE,1993,8692013
SE,1994,8745109
SE,1995,8816381
SE,1996,8837496
SE,1997,8844499
SE,1998,8847625
SE,1999,8854322
SE,2000,8861426
SE,2001,8882792
SE,2002,8909128
SE,2003,8940788
SE,2004,8975670
SE,2005,9011392
SE,2006,9047752
SE,2007,9113257
SE,2008,9182927
SE,2009,9256347
SE,2010,9340682
SE,2011,9415570
SE,2012,9482855
SE,2013,9555893
SE,2014,9644864
SE,2015,9747355
SE,2016,9851017
SE,2017,9995153
SE,2018,10120242
SE,2019,10230185
SE,2020,10327589
SE,2021,10379295
SE,2022,10452326
SE,2023,10521556
SI,1977,1831790
SI,1978,1852963
SI,1979,1872133
SI,1980,1893064
SI,1981,1909566
SI,1982,1903495
SI,1983,1917173
SI,1984,1927469
SI,1985,1936839
SI,1986,1946442
SI,1987,1985486
SI,1988,1994066
SI,1989,1996325
SI,1990,1996377
SI,1991,1999945
SI,1992,1998912
SI,1993,1994084
SI,1994,1989408
SI,1995,1989477
SI,1996,1990266
SI,1997,1986989
SI,1998,1984923
SI,1999,1978334
SI,2000,1987755
SI,2001,1990094
SI,2002,1994026
SI,2003,1995033
SI,2004,1996433
SI,2005,1997590
SI,2006,2003358
SI,2007,2010377
SI,2008,2010269
SI,2009,2032362
SI,2010,2046976
SI,2011,2050189
SI,2012,2055496
SI,2013,2058821
SI,2014,2061085
SI,2015,2062874
SI,2016,2064188
SI,2017,2065895
SI,2018,2066880
SI,2019,2080908
SI,2020,2095861
SI,2021,2108977
SI,2022,2107180
SI,2023,2116972
SK,1977,4815396
SK,1978,4865605
SK,1979,4914644
SK,1980,4963301
SK,1981,4996329
SK,1982,5035881
SK,1983,5074316
SK,1984,5109626
SK,1985,5144568
SK,1986,5178967
SK,1987,5208708
SK,1988,5236972
SK,1989,5264220
SK,1990,5287663
SK,1991,5310711
SK,1992,5295877
SK,1993,5314155
SK,1994,5336455
SK,1995,5356207
SK,1996,5367790
SK,1997,5378932
SK,1998,5387650
SK,1999,5393382
SK,2000,5398657
SK,2001,5378783
SK,2002,5378951
SK,2003,5374873
SK,2004,5371875
SK,2005,5372685
SK,2006,5372928
SK,2007,5373180
SK,2008,5376064
SK,2009,5382401
SK,2010,5390410
SK,2011,5392446
SK,2012,5404322
SK,2013,5410836
SK,2014,5415949
SK,2015,5421349
SK,2016,5426252
SK,2017,5435343
SK,2018,5443120
SK,2019,5450421
SK,2020,5457873
SK,2021,5459781
SK,2022,5434712
SK,2023,5428792
SM,2004,29241
SM,2005,29673
SM,2006,29999
SM,2007,30368
SM,2008,32054
SM,2009,31269
SM,2011,31863
SM,2012,33376
SM,2013,33562
SM,2018,34453
TR,1977,41102443
TR,1978,41996129
TR,1979,42967253
TR,1980,44021146
TR,1981,45023450
TR,1982,46085508
TR,1983,47210448
TR,1984,48401689
TR,1985,49662958
TR,1986,50695548
TR,1987,51791212
TR,1988,52953586
TR,1989,54186642
TR,1990,55494711
TR,1991,56714051
TR,1992,57835076
TR,1993,58958565
TR,1994,60079060
TR,1995,61203584
TR,1996,62337617
TR,1997,63484661
TR,1998,64641675
TR,1999,65786563
TR,2000,66889425
TR,2001,64729501
TR,2002,65603160
TR,2003,66401851
TR,2004,67187251
TR,2005,68010221
TR,2006,68860539
TR,2007,69729967
TR,2008,70586256
TR,2009,71517100
TR,2010,72561312
TR,2011,73722988
TR,2012,74724269
TR,2013,75627384
TR,2014,76667864
TR,2015,77695904
TR,2016,78741053
TR,2017,79814871
TR,2018,80810525
TR,2019,82003882
TR,2020,83154997
TR,2021,83614362
TR,2022,84680273
TR,2023,85279553
UA,2000,49114950
UA,2001,48663609
UA,2002,48240902
UA,2003,47823108
UA,2004,47442079
UA,2005,47100462
UA,2006,46749170
UA,2007,46465691
UA,2008,46192309
UA,2009,45963359
UA,2010,45782592
UA,2011,45598179
UA,2012,45453282
UA,2013,45372692
UA,2014,45245894
UA,2015,42759661
UA,2016,42590879
UA,2017,42414905
UA,2018,42216766
UA,2019,41983564
UA,2020,41732779
UA,2021,41418717
UA,2022,40997698
UK,1977,56203016
UK,1978,56183968
UK,1979,56209039
UK,1980,56284863
UK,1981,56343569
UK,1982,56324088
UK,1983,56303194
UK,1984,56362502
UK,1985,56481641
UK,1986,56618895
UK,1987,56743897
UK,1988,56860203
UK,1989,56996450
UK,1990,57156972
UK,1991,57338199
UK,1992,57511594
UK,1993,57649210
UK,1994,57788017
UK,1995,57943472
UK,1996,58094587
UK,1997,58239312
UK,1998,58394596
UK,1999,58579685
UK,2000,58785246
UK,2001,58999781
UK,2002,59239564
UK,2003,59501394
UK,2004,59793759
UK,2005,60182050
UK,2006,60620361
UK,2007,61073279
UK,2008,61571647
UK,2009,62042343
UK,2010,62510197
UK,2011,63022532
UK,2012,63495088
UK,2013,63905342
UK,2014,64351203
UK,2015,64853393
UK,2016,65379044
UK,2017,65844142
UK,2018,66273576
UK,2019,66647112
UK,2020,67025542
XK,2003,1985000
XK,2004,2016000
XK,2005,2041000
XK,2006,2100000
XK,2007,2126708
XK,2008,2153139
XK,2009,2180686
XK,2010,2208107
XK,2011,1794180
XK,2012,
XK,2016,1771604
XK,2017,1783531
XK,2018,1798506
XK,2019,1795666
XK,2020,1782115
XK,2021,1798186
XK,2022,1773971
